# TYPE dataset
# GEOMETRY grid.dat
# COLUMN_1 Lc_bwd, label = "Backward connection length", units = m
# COLUMN_2 Lc_fwd, label = "Forward connection length", units = m
# COLUMN_3 Lpt_bwd, label = "Backward connection length", units = "{poloidal turns}"
# COLUMN_4 Lpt_fwd, label = "Forward connection length", units = "{poloidal turns}"
# COLUMN_5 Ltt_bwd, label = "Backward connection length", units = "{toroidal turns}"
# COLUMN_6 Ltt_fwd, label = "Forward connection length", units = "{toroidal turns}"
# COLUMN_7 minPsiN_bwd, label = "Minimum psiN in backward direction"
# COLUMN_8 minPsiN_fwd, label = "Minimum psiN in forward direction"
# EXPRESSION_Lc "Lc_bwd + Lc_fwd", label = "Connection length", units = m
# EXPRESSION_Lcs "min(Lc_bwd, Lc_fwd)", label = "Shortest connection length", units = m
# EXPRESSION_Lpt "abs(Lpt_bwd - Lpt_fwd)", label = "Connection length", units = "{poloidal turns}"
# EXPRESSION_Lpts "min(abs(Lpt_bwd), abs(Lpt_fwd))", label = "Shortest connection length", units = "{poloidal turns}"
# EXPRESSION_Ltt "abs(Ltt_bwd - Ltt_fwd)", label = "Connection length", units = "{toroidal turns}"
# EXPRESSION_Ltts "min(abs(Ltt_bwd), abs(Ltt_fwd))", label = "Shortest connection length", units = "{toroidal turns}"
# EXPRESSION_minPsiN "min(minPsiN_bwd, minPsiN_fwd)", label = "Deepest radial incursion", units = psiN
  0.10000000000000E+05  0.10000000000000E+05  0.17296524201479E-01 -0.17209269753664E-01  0.13050280458566E+04 -0.13050281265528E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.10681114064896E-01 -0.10310557374959E-01  0.13046063560502E+04 -0.13046062974541E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.13851636473109E-01 -0.13536247891453E-01  0.13042798904068E+04 -0.13042803443558E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.17539768767427E-01 -0.17456219512685E-01  0.13040502899022E+04 -0.13040501703696E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.22528349171503E-01  0.22492725112026E-01  0.13039399471812E+04 -0.13039399116375E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.20295219637448E-01  0.20225889349480E-01  0.13039347319525E+04 -0.13039275546807E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.11133944099956E-01 -0.11079899860086E-01  0.13040210554358E+04 -0.13040221730884E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.90255160561131E-02  0.82851214498397E-02  0.13042392775107E+04 -0.13042407369382E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.17120389811290E-01 -0.17382692991991E-01  0.13045465151074E+04 -0.13045484603896E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.20664735233605E-01  0.20128350345311E-01  0.13049813188799E+04 -0.13049814015026E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.25171657394732E-01  0.25308295499149E-01  0.13054656087146E+04 -0.13054653318103E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.13716838682440E-01  0.13660641750930E-01  0.13059871189912E+04 -0.13059844828395E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.17714961808038E-01 -0.17574708434674E-01  0.13065458392541E+04 -0.13065469423665E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.17379525421124E-01  0.17189496976176E-01  0.13071516865383E+04 -0.13071516388601E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.11518596941689E-01  0.11586002369289E-01  0.13077564789376E+04 -0.13077568063118E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.28475581406610E-01 -0.28690711264600E-01  0.13083335288157E+04 -0.13083329554488E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.11885324003734E-01  0.14273884473291E-01  0.13089135682251E+04 -0.13089098691080E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.24773970297158E-01  0.24855360402588E-01  0.13094803201667E+04 -0.13094773642390E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.18731000750857E-02  0.39321184753611E-02  0.13099601839778E+04 -0.13099713370889E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.69406264058140E-02  0.92757460865277E-02  0.13104102972884E+04 -0.13104147834752E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.88470783121139E-02  0.10760429060320E-01  0.13107769741398E+04 -0.13107768042082E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.97934053876121E-02 -0.15455039674460E-01  0.13110156175361E+04 -0.13110027328816E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.44467402652013E-02  0.22010466449987E-01  0.13112236159020E+04 -0.13112396565364E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.41843542262868E-02  0.34772761999723E-02  0.13112601494467E+04 -0.13112554399806E+04  0.00000000000000E+00  0.00000000000000E+00
  0.72156984768702E+02  0.72156100772396E+02 -0.40343591842282E-01  0.40394047569378E-01  0.94830439940988E+01 -0.94829262873115E+01  0.00000000000000E+00  0.00000000000000E+00
  0.11118536636781E+02  0.11118536636295E+02 -0.41236731323147E-01  0.41236731347370E-01  0.14807281589349E+01 -0.14807281588737E+01  0.00000000000000E+00  0.00000000000000E+00
  0.16281542851935E+01  0.16281542851935E+01  0.10707656278092E-01 -0.10707656278091E-01  0.19894529250017E+00 -0.19894529250017E+00  0.00000000000000E+00  0.00000000000000E+00
  0.14465743822019E+01  0.14465743822013E+01  0.63912644948105E-02 -0.63912644948016E-02  0.17662370798582E+00 -0.17662370798575E+00  0.00000000000000E+00  0.00000000000000E+00
  0.13290611989881E+01  0.13290611989881E+01  0.51533881556218E-02 -0.51533881556217E-02  0.16144293481494E+00 -0.16144293481494E+00  0.00000000000000E+00  0.00000000000000E+00
  0.12006710623429E+01  0.12006710623445E+01  0.58802835239219E-02 -0.58802835239129E-02  0.14446538144273E+00 -0.14446538144292E+00  0.00000000000000E+00  0.00000000000000E+00
