Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s
0.20333333333333334,2e+17,2e+17,2e+17,2.000000000000012e+17,2.0000000000141805e+17,2.000000001080582e+17,2.000000020179742e+17,2.0000001660498e+17,2.0000008129554128e+17,2.000002806339879e+17,2.0000075734386586e+17,2.0000170745505213e+17
0.2066666666666667,2e+17,2e+17,2e+17,2.000000000000014e+17,2.000000000015759e+17,2.0000000011768218e+17,2.0000000216779805e+17,2.0000001766186166e+17,2.000000858216096e+17,2.0000029450660554e+17,2.0000079096470243e+17,2.0000177612544925e+17
0.21000000000000002,2e+17,2e+17,2e+17,2.000000000000016e+17,2.0000000000175088e+17,2.000000001281384e+17,2.0000000232836858e+17,2.00000018783442e+17,2.000000905892008e+17,2.000003090353507e+17,2.0000082601430208e+17,2.000018474484169e+17
0.21333333333333335,2e+17,2e+17,2e+17,2.0000000000000182e+17,2.0000000000194483e+17,2.000000001394965e+17,2.0000000250042746e+17,2.000000199735038e+17,2.0000009561051546e+17,2.0000032424926995e+17,2.0000086254867626e+17,2.0000192151674723e+17
0.21666666666666667,2e+17,2e+17,2e+17,2.000000000000021e+17,2.0000000000215974e+17,2.0000000015183187e+17,2.0000000268476547e+17,2.0000002123604058e+17,2.0000010089833728e+17,2.0000034017862147e+17,2.0000090062590394e+17,2.0000199842629898e+17
0.22,2e+17,2e+17,2e+17,2.0000000000000243e+17,2.0000000000239782e+17,2.0000000016522586e+17,2.0000000288222547e+17,2.0000002257526714e+17,2.0000010646605872e+17,2.000003568549208e+17,2.0000094030619843e+17,2.0000207827608298e+17
0.22333333333333336,2e+17,2e+17,2e+17,2.0000000000000278e+17,2.000000000026615e+17,2.0000000017976646e+17,2.0000000309370582e+17,2.0000002399563146e+17,2.000001123277079e+17,2.0000037431098813e+17,2.0000098165197658e+17,2.000021611683499e+17
0.22666666666666668,2e+17,2e+17,2e+17,2.0000000000000317e+17,2.0000000000295344e+17,2.0000000019554867e+17,2.0000000332016374e+17,2.0000002550182678e+17,2.0000011849797648e+17,2.0000039258099738e+17,2.0000102472792976e+17,2.0000224720868016e+17
0.23,2e+17,2e+17,2e+17,2.0000000000000365e+17,2.0000000000327664e+17,2.0000000021267504e+17,2.0000000356261904e+17,2.000000270988041e+17,2.0000012499224877e+17,2.000004117005266e+17,2.0000106960109683e+17,2.000023365060759e+17
0.23333333333333334,2e+17,2e+17,2e+17,2.000000000000042e+17,2.0000000000363434e+17,2.0000000023125635e+17,2.0000000382215798e+17,2.000000287917858e+17,2.0000013182663184e+17,2.0000043170661053e+17,2.000011163409394e+17,2.0000242917305542e+17
