Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s
0.06666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000124e+17,2.0000000000237606e+17,2.000000000836413e+17,2.0000000109739677e+17,2.00000007700542e+17,2.0000003543001053e+17,2.0000012096134182e+17,2.0000033181016458e+17,2.0000077149608278e+17,2.0000157830548106e+17,2.0000291826850803e+17,2.000049744556505e+17,2.0000793501194506e+17,2.0001198189911075e+17,2.000172815887579e+17,2.000239782603042e+17,2.0003218954411357e+17,2.000420045351525e+17,2.0005348365089232e+17,2.0006665986940842e+17,2.0008154091408867e+17,2.0009811201575117e+17,2.0011633895857098e+17
0.07,2e+17,2e+17,2e+17,2e+17,2.0000000000001392e+17,2.0000000000260042e+17,2.0000000008997728e+17,2.0000000116543686e+17,2.0000000809727402e+17,2.000000369658474e+17,2.0000012542116096e+17,2.0000034231595686e+17,2.0000079265484253e+17,2.0000161609363667e+17,2.00002979697995e+17,2.000050671146754e+17,2.0000806657659222e+17,2.000121596892823e+17,2.000175122117963e+17,2.0002426735900278e+17,2.000325416469018e+17,2.0004242299517978e+17,2.0005397065586602e+17,2.000672165033323e+17,2.0008216725373786e+17,2.0009880724753043e+17,2.0011710150450803e+17
0.07333333333333333,2e+17,2e+17,2e+17,2e+17,2.0000000000001558e+17,2.0000000000284726e+17,2.000000000968615e+17,2.000000012387453e+17,2.0000000852224714e+17,2.000000386041803e+17,2.0000013016404714e+17,2.0000035346272003e+17,2.0000081506448355e+17,2.0000165605973526e+17,2.000030445954383e+17,2.000051649162872e+17,2.0000820534044758e+17,2.0001234709345315e+17,2.0001775518160883e+17,2.0002457180400262e+17,2.0003291230497955e+17,2.000428633698006e+17,2.000544830273123e+17,2.0006780199417194e+17,2.0008282593053098e+17,2.000995382437482e+17,2.0011790315289824e+17
0.07666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000175e+17,2.000000000031187e+17,2.0000000010433302e+17,2.0000000131762518e+17,2.0000000897679136e+17,2.0000004034900243e+17,2.000001351992087e+17,2.0000036526800854e+17,2.000008387540618e+17,2.000016982469709e+17,2.000031130199141e+17,2.0000526793613766e+17,2.0000835139541018e+17,2.0001254421857382e+17,2.0001801061834944e+17,2.0002489172638762e+17,2.0003330165786963e+17,2.0004332580443987e+17,2.000550209141064e+17,2.0006841649197802e+17,2.000835170936537e+17,2.0010030515094934e+17,2.0011874404614416e+17
0.08,2e+17,2e+17,2e+17,2e+17,2.0000000000001962e+17,2.0000000000341686e+17,2.0000000011243405e+17,2.000000014024016e+17,2.0000000946232458e+17,2.000000422045535e+17,2.000001405363932e+17,2.0000037775036326e+17,2.0000086375421328e+17,2.0000174270082624e+17,2.000031850335633e+17,2.0000537625373578e+17,2.000085048379985e+17,2.0001275117690778e+17,2.000182786480818e+17,2.0002522726363498e+17,2.0003370985185107e+17,2.0004381045152102e+17,2.0005558447224982e+17,2.0006906015394995e+17,2.0008424089936957e+17,2.0010110812260554e+17,2.0011962433335667e+17
0.08333333333333334,2e+17,2e+17,2e+17,2e+17,2.00000000000022e+17,2.0000000000374426e+17,2.000000001212102e+17,2.0000000149342253e+17,2.0000000998035613e+17,2.0000004417532784e+17,2.0000014618590192e+17,2.0000039092933286e+17,2.000008900971821e+17,2.000017894691049e+17,2.000032607016264e+17,2.0000548995248346e+17,2.0000866576938454e+17,2.0001296808606176e+17,2.0001855940280525e+17,2.0002557855963597e+17,2.0003413703997437e+17,2.00044317470476e+17,2.0005617386487498e+17,2.0006973314443597e+17,2.0008499751101616e+17,2.0010194731910774e+17,2.0012054417034467e+17
0.08666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000002467e+17,2.0000000000410346e+17,2.0000000013071072e+17,2.0000000159106038e+17,2.000000105324908e+17,2.0000004626608317e+17,2.0000015215860506e+17,2.0000040482549648e+17,2.0000091781684966e+17,2.0000183860196598e+17,2.000033400924807e+17,2.000056091197125e+17,2.0000883429542874e+17,2.0001319506901754e+17,2.000188530204818e+17,2.000259457647175e+17,2.000345833820773e+17,2.0004484702775542e+17,2.0005678926225037e+17,2.000704356349334e+17,2.0008578709900093e+17,2.001028229077585e+17,2.0012150371960403e+17
0.09000000000000001,2e+17,2e+17,2e+17,2e+17,2.0000000000002768e+17,2.000000000044974e+17,2.0000000014098864e+17,2.00000001695713e+17,2.000000111204329e+17,2.0000004848184986e+17,2.0000015846595798e+17,2.0000041946048726e+17,2.0000094694876506e+17,2.0000189015195942e+17,2.0000342327767846e+17,2.000057338467235e+17,2.0000901052671702e+17,2.00013432254165e+17,2.0001915964506422e+17,2.0002632903566448e+17,2.000350490448017e+17,2.000453992968393e+17,2.0005743084178547e+17,2.0007116780408854e+17,2.0008660984079674e+17,2.0010373506276355e+17,2.0012250315030646e+17
0.09333333333333334,2e+17,2e+17,2e+17,2e+17,2.00000000000031e+17,2.000000000049292e+17,2.0000000015210115e+17,2.0000000180780512e+17,2.000000117459906e+17,2.000000508279404e+17,2.00000165120018e+17,2.0000043485701725e+17,2.0000097753017718e+17,2.000019441740635e+17,2.0000351033198717e+17,2.000058642288259e+17,2.0000919457859894e+17,2.0001367977533648e+17,2.0001947942652522e+17,2.0002672853574317e+17,2.0003553420161005e+17,2.0004597445824784e+17,2.0005809878803594e+17,2.0007192983769664e+17,2.000874659209372e+17,2.0010468396522346e+17,2.001235426382874e+17
0.09666666666666668,2e+17,2e+17,2e+17,2e+17,2.0000000000003475e+17,2.000000000054024e+17,2.000000001641098e+17,2.0000000192779005e+17,2.0000001241108045e+17,2.0000005330995984e+17,2.0000017213346205e+17,2.000004510389032e+17,2.0000100960006806e+17,2.000020007257235e+17,2.0000360133343117e+17,2.000060003653803e+17,2.0000938657122742e+17,2.000139377718424e+17,2.0001981252088768e+17,2.000271444347252e+17,2.0003603903280352e+17,2.0004657269955286e+17,2.0005879329270902e+17,2.0007272192870182e+17,2.000883555310119e+17,2.0010566980312435e+17,2.001246223660337e+17
0.1,2e+17,2e+17,2e+17,2e+17,2.0000000000003898e+17,2.000000000059207e+17,2.0000000017708083e+17,2.0000000205615088e+17,2.000000131177324e+17,2.000000559338161e+17,2.0000017951960522e+17,2.000004680310938e+17,2.000010431991876e+17,2.000020598668922e+17,2.00003696363335e+17,2.0000614235984163e+17,2.0000958662959997e+17,2.0001420638850813e+17,2.00020159090256e+17,2.0002757690891245e+17,2.0003656372553997e+17,2.0004719421538934e+17,2.0005951455466886e+17,2.0007354427719686e+17,2.0008927886966086e+17,2.0010669277132864e+17,2.001257425226707e+17
0.10333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000004365e+17,2.000000000064882e+17,2.000000001910855e+17,2.000000021934024e+17,2.0000001386809475e+17,2.0000005870573146e+17,2.0000018729242022e+17,2.000004858596977e+17,2.000010783700897e+17,2.0000212166007184e+17,2.0000379550636854e+17,2.0000629031980448e+17,2.0000979488360134e+17,2.0001448577571242e+17,2.000205193028483e+17,2.0002802614116278e+17,2.0003710847385274e+17,2.000478392074673e+17,2.00060262779942e+17,2.000743970904227e+17,2.0009023614256947e+17,2.0010775307156506e+17,2.001269033039485e+17
0.10666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000489e+17,2.0000000000710938e+17,2.000000002062004e+17,2.0000000234009277e+17,2.0000001466443958e+17,2.0000006163225418e+17,2.000001954665575e+17,2.000005045520131e+17,2.0000111515717e+17,2.000021861703578e+17,2.0000389885059344e+17,2.0000644435704973e+17,2.000100114680477e+17,2.000147760894265e+17,2.0002089333302995e+17,2.0002849232091648e+17,2.0003767347866982e+17,2.0004850788458403e+17,2.0006103818172288e+17,2.0007528058276803e+17,2.0009122756246237e+17,2.001088509124184e+17,2.0012810491222826e+17
0.11,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.000000000000548e+17,2.0000000000778915e+17,2.000000002225078e+17,2.0000000249680528e+17,2.000000155091684e+17,2.0000006472027085e+17,2.0000020405736646e+17,2.0000052413655827e+17,2.0000115360670483e+17,2.0000225346548362e+17,2.000040064875116e+17,2.0000660458759283e+17,2.0001023652273213e+17,2.0001507749125514e+17,2.0002128136134787e+17,2.000289756442234e+17,2.000382589478338e+17,2.0004920046263654e+17,2.0006184098037955e+17,2.0007619497576874e+17,2.000922533490975e+17,2.0010998650931875e+17,2.0012934755646714e+17
0.11333333333333334,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000006134e+17,2.0000000000853277e+17,2.0000000024009616e+17,2.0000000266416058e+17,2.000000164048181e+17,2.0000006797701923e+17,2.0000021308091744e+17,2.000005446431035e+17,2.000011937668919e+17,2.0000232361586787e+17,2.000041185121151e+17,2.0000677113173382e+17,2.000104701924717e+17,2.0001539014847837e+17,2.0002168357456586e+17,2.00029476313771e+17,2.000388650961219e+17,2.000499171646343e+17,2.0006267140345917e+17,2.0007714049810704e+17,2.0009331372925974e+17,2.0011116008453027e+17,2.001306314522035e+17
0.11666666666666667,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000006867e+17,2.0000000000934608e+17,2.0000000025906038e+17,2.0000000284281843e+17,2.0000001735406736e+17,2.0000007141010173e+17,2.0000022255402464e+17,2.0000056610270394e+17,2.0000123568789216e+17,2.0000239669466272e+17,2.0000423502293757e+17,2.000069441141086e+17,2.000107126271559e+17,2.000157142340948e+17,2.0002210016570106e+17,2.0002999453891306e+17,2.0003949214526698e+17,2.0005065822071216e+17,2.000635296856938e+17,2.0007811738561066e+17,2.0009440893675414e+17,2.0011237186713955e+17,2.001319568215409e+17
0.12000000000000001,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000007686e+17,2.0000000001023536e+17,2.000000002795024e+17,2.0000000303348016e+17,2.000000183597429e+17,2.0000007502749942e+17,2.0000023249427008e+17,2.000005885477342e+17,2.0000127942187347e+17,2.0000247277780384e+17,2.0000435612210774e+17,2.0000712366374208e+17,2.0001096398179645e+17,2.000160499268658e+17,2.0002253133406128e+17,2.0003053053569904e+17,2.0004014032397866e+17,2.0005142386814368e+17,2.0006441606900608e+17,2.0007912588125155e+17,2.000955392123988e+17,2.0011362209304346e+17,2.0013332389313194e+17
0.12333333333333334,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000008598e+17,2.0000000001120742e+17,2.0000000030153152e+17,2.0000000323689094e+17,2.0000001942482678e+17,2.000000788375869e+17,2.0000024292002854e+17,2.0000061201192394e+17,2.0000132502305552e+17,2.0000255194406208e+17,2.0000448191540416e+17,2.0000730991410285e+17,2.0001122441657872e+17,2.000163974113614e+17,2.0002297728528323e+17,2.000310845269043e+17,2.0004080986796486e+17,2.0005221435135443e+17,2.0006533080251488e+17,2.000801662351449e+17,2.0009670480401754e+17,2.001149110049366e+17,2.001347329021612e+17
0.12666666666666668,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.000000000000962e+17,2.000000000122698e+17,2.0000000032526506e+17,2.0000000345384214e+17,2.0000002055246336e+17,2.0000008284914752e+17,2.0000025385049328e+17,2.0000063653039456e+17,2.0000137254775658e+17,2.0000263427509706e+17,2.0000461251231184e+17,2.0000750300315933e+17,2.0001149409691427e+17,2.000167568780068e+17,2.000234382313718e+17,2.000316567420608e+17,2.0004150101995418e+17,2.0005302992193565e+17,2.0006627414254102e+17,2.0008123870454726e+17,2.000979059664322e+17,2.0011623885229814e+17,2.0013618409032784e+17
0.13,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.000000000001076e+17,2.0000000001343056e+17,2.0000000035082883e+17,2.0000000368517405e+17,2.0000002174596698e+17,2.0000008707138938e+17,2.0000026530570288e+17,2.0000066213969773e+17,2.000014220544414e+17,2.000027198555119e+17,2.000047480260805e+17,2.0000770307343744e+17,2.0001177319349507e+17,2.0001712852313034e+17,2.0002391439074022e+17,2.0003224741748867e+17,2.000422140297182e+17,2.0005387083865808e+17,2.000672463526129e+17,2.000823435538552e+17,2.0009914296145434e+17,2.0011760589137814e+17,2.001376777058274e+17
0.13333333333333333,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000012032e+17,2.0000000001469856e+17,2.000000003783577e+17,2.000000039317786e+17,2.0000002300883005e+17,2.0000009151396205e+17,2.0000027730656934e+17,2.0000068887785485e+17,2.0000147360377117e+17,2.000028087729102e+17,2.0000488857378448e+17,2.000079102720801e+17,2.0001206188234886e+17,2.0001751254901283e+17,2.0002440598825114e+17,2.0003285679632826e+17,2.0004294915409453e+17,2.0005473736748582e+17,2.000682477034721e+17,2.0008348105460317e+17,2.0010041605787683e+17,2.0011901238518368e+17,2.0013921400333306e+17
0.1366666666666667,2e+17,2e+17,2e+17,2.0000000000000006e+17,2.000000000001345e+17,2.0000000001608336e+17,2.0000000040799622e+17,2.0000000419460224e+17,2.000000243447312e+17,2.0000009618697405e+17,2.0000028987490688e+17,2.0000071678439798e+17,2.0000152725865446e+17,2.0000290111795418e+17,2.000050342763842e+17,2.00008124750908e+17,2.0001236034489603e+17,2.0001790916393754e+17,2.000249132552585e+17,2.0003348512857293e+17,2.0004370665700995e+17,2.000556297815907e+17,2.0006927847307888e+17,2.000846514854614e+17,2.0010172553146493e+17,2.0012045860346394e+17,2.001407932439764e+17
0.14,2e+17,2e+17,2e+17,2.0000000000000006e+17,2.0000000000015034e+17,2.0000000001759546e+17,2.0000000043989933e+17,2.0000000447464906e+17,2.000000257575443e+17,2.0000010110101098e+17,2.000003030334621e+17,2.000007459004123e+17,2.0000158308430054e+17,2.00002996984425e+17,2.000051852587896e+17,2.0000834666648205e+17,2.0001266876800787e+17,2.0001831858224173e+17,2.0002543642965043e+17,2.000341326711023e+17,2.0004448680950432e+17,2.000565483613661e+17,2.0007033894661786e+17,2.000858551322335e+17,2.00103071664947e+17,2.0012194482269517e+17,2.0014241569532733e+17
