Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s
0.06666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000001373e+17,2.0000000000257904e+17,2.000000000896413e+17,2.000000011652739e+17,2.0000000811925965e+17,2.0000003714877946e+17,2.0000012625759174e+17,2.0000034504553677e+17,2.0000079974705952e+17,2.000016317040219e+17,2.000030099893419e+17,2.000051203801245e+17,2.0000815315453466e+17,2.000122917006678e+17,2.0001770317199782e+17,2.0002453172123456e+17,2.0003289432806256e+17,2.0004287892353712e+17,2.0005454436732013e+17,2.0006792180151984e+17,2.0008301694004886e+17,2.0009981292044307e+17,2.0011827342326618e+17,2.001383458393391e+17,2.001599643305164e+17,2.001830526832262e+17,2.0020752689555488e+17,2.002332974695732e+17,2.0026027140262163e+17,2.0028835388621053e+17,2.0031744973069667e+17,2.00347464539377e+17,2.003783056582269e+17
0.07,2e+17,2e+17,2e+17,2e+17,2.0000000000001536e+17,2.0000000000282144e+17,2.000000000963989e+17,2.000000012371471e+17,2.0000000853525517e+17,2.0000003874976893e+17,2.0000013088446698e+17,2.000003559017703e+17,2.000008215386784e+17,2.000016705113714e+17,2.000030729198679e+17,2.0000521509836835e+17,2.0000828738698966e+17,2.0001247278909018e+17,2.0001793771779677e+17,2.000248253366082e+17,2.0003325149064883e+17,2.0004330292047318e+17,2.0005503730997245e+17,2.000684846916581e+17,2.0008364977010326e+17,2.001005147934224e+17,2.001190426811033e+17,2.001391801914085e+17,2.001608609766202e+17,2.001840084274011e+17,2.0020853824863382e+17,2.002343607395994e+17,2.0026138277303203e+17,2.0028950948225446e+17,2.0031864567489824e+17,2.003486969970395e+17,2.003795708740608e+17
0.07333333333333333,2e+17,2e+17,2e+17,2e+17,2.000000000000172e+17,2.0000000000308813e+17,2.000000001037395e+17,2.00000001314571e+17,2.0000000898079613e+17,2.000000404573924e+17,2.0000013580451e+17,2.0000036741936752e+17,2.0000084461691094e+17,2.0000171155284083e+17,2.0000313939949574e+17,2.000053150687733e+17,2.0000842895877613e+17,2.0001266366288637e+17,2.0001818481235587e+17,2.0002513452907645e+17,2.000336274653881e+17,2.0004374911151315e+17,2.0005555591738227e+17,2.0006907675166112e+17,2.0008431526074307e+17,2.0010125276068323e+17,2.0011985137373482e+17,2.0014005719582886e+17,2.0016180334594198e+17,2.0018501280077744e+17,2.0020960095877552e+17,2.0023547790752963e+17,2.0026255039000202e+17,2.0029072347931584e+17,2.0031990198098435e+17,2.0034999158660653e+17,2.003808998054244e+17
0.07666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000001933e+17,2.0000000000338122e+17,2.000000001117044e+17,2.000000013978632e+17,2.000000094572655e+17,2.0000004227577754e+17,2.0000014102719296e+17,2.000003796163119e+17,2.000008690114196e+17,2.0000175487239373e+17,2.0000320948819613e+17,2.0000542036795792e+17,2.0000857796277363e+17,2.000128644299448e+17,2.0001844457667466e+17,2.000254594304372e+17,2.000340223923573e+17,2.0004421764245894e+17,2.0005610033861728e+17,2.000696981315879e+17,2.000850135609853e+17,2.001020269684365e+17,2.001206996430791e+17,2.0014097698901008e+17,2.001627915684214e+17,2.0018606592609472e+17,2.0021071514099565e+17,2.0023664908031206e+17,2.0026377435222298e+17,2.0029199596776963e+17,2.0032121873106138e+17,2.003513483820508e+17,2.003822925183613e+17
0.08,2e+17,2e+17,2e+17,2e+17,2.0000000000002166e+17,2.0000000000370314e+17,2.0000000012033824e+17,2.0000000148736413e+17,2.0000000996613754e+17,2.0000004420930637e+17,2.000001465625415e+17,2.0000039251159584e+17,2.0000089475347786e+17,2.000018005163201e+17,2.000032832490475e+17,2.0000553107644368e+17,2.00008734496527e+17,2.0001307520350957e+17,2.0001871713770022e+17,2.0002580017891267e+17,2.000344364184129e+17,2.0004470866612595e+17,2.000566707298775e+17,2.000703489886439e+17,2.000857448269144e+17,2.001028375698019e+17,2.0012158763773786e+17,2.001419397137661e+17,2.00163825780081e+17,2.0018716793182275e+17,2.0021188091566566e+17,2.002378743698626e+17,2.0026505476295885e+17,2.0029332704216714e+17,2.003225960110196e+17,2.0035276746074435e+17,2.0038374908194026e+17
0.08333333333333334,2e+17,2e+17,2e+17,2e+17,2.000000000000243e+17,2.0000000000405642e+17,2.000000001296893e+17,2.0000000158343837e+17,2.000000105089813e+17,2.0000004626262346e+17,2.0000015242114976e+17,2.000004061252424e+17,2.000009218759984e+17,2.0000184853326938e+17,2.000033607482713e+17,2.0000564727869072e+17,2.0000889866227968e+17,2.0001329610221056e+17,2.000190026283528e+17,2.000261569191701e+17,2.0003486969720582e+17,2.0004522234235245e+17,2.000572672544998e+17,2.000710294871806e+17,2.000865092216778e+17,2.0010368472479984e+17,2.001225155129855e+17,2.001429455193023e+17,2.0016490612301168e+17,2.0018831895214576e+17,2.0021309840849613e+17,2.0023915389304707e+17,2.002663917300282e+17,2.0029471680121827e+17,2.0032403391051568e+17,2.0035424890344102e+17,2.0038526956823846e+17
0.08666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000272e+17,2.0000000000444397e+17,2.0000000013980963e+17,2.0000000168647578e+17,2.0000001108746486e+17,2.0000004844064506e+17,2.000001586141959e+17,2.0000042047832816e+17,2.0000095041356246e+17,2.0000189897428474e+17,2.0000344205526912e+17,2.000057690631348e+17,2.0000907056700906e+17,2.0001352725009504e+17,2.0001930118755245e+17,2.000265298023426e+17,2.000353223891968e+17,2.0004575883800944e+17,2.000578900829623e+17,2.000717397986953e+17,2.000873069154815e+17,2.001045686003436e+17,2.0012348343075798e+17,2.0014399456120163e+17,2.001660327453572e+17,2.0018951912694557e+17,2.002143677505187e+17,2.002404877716633e+17,2.0026778536578576e+17,2.0029616534777293e+17,2.0032553252295446e+17,2.0035579279425898e+17,2.0038685405232422e+17
0.09000000000000001,2e+17,2e+17,2e+17,2e+17,2.000000000000305e+17,2.0000000000486883e+17,2.0000000015075523e+17,2.0000000179689286e+17,2.000000117033594e+17,2.000000507485683e+17,2.000001651534584e+17,2.0000043559300723e+17,2.000009804024507e+17,2.0000195189283885e+17,2.0000352724266086e+17,2.000058965222259e+17,2.0000925032246285e+17,2.000137687766602e+17,2.0001961296024662e+17,2.0002691898605123e+17,2.0003579466167248e+17,2.000463183270108e+17,2.0005853939288902e+17,2.0007248010183072e+17,2.0008813808558538e+17,2.0010548937023062e+17,2.0012449155964125e+17,2.001450870014107e+17,2.001672058012981e+17,2.0019076860178416e+17,2.002156890780678e+17,2.0024187613242163e+17,2.002692357871031e+17,2.0029767278880163e+17,2.003270919454696e+17,2.0035739922066163e+17,2.0038850261223882e+17
0.09333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000003418e+17,2.0000000000533443e+17,2.0000000016258656e+17,2.000000019151343e+17,2.0000001235854368e+17,2.0000005319188118e+17,2.000001720513333e+17,2.0000045149253642e+17,2.0000101188067546e+17,2.0000200734487152e+17,2.0000361638632525e+17,2.0000602975246867e+17,2.0000943804519738e+17,2.0001402081688742e+17,2.0001993809743914e+17,2.000273246344279e+17,2.0003628668876192e+17,2.000469009903238e+17,2.0005921536905466e+17,2.0007325058237446e+17,2.000890029162979e+17,2.0010644721513357e+17,2.0012554007485894e+17,2.0014622300822483e+17,2.0016842545103498e+17,2.0019206752788528e+17,2.002170625327614e+17,2.002433191069253e+17,2.0027074311534835e+17,2.0029923923537542e+17,2.0032871227890378e+17,2.0035906827343834e+17,2.0039021532897744e+17
0.09666666666666668,2e+17,2e+17,2e+17,2e+17,2.000000000000383e+17,2.000000000058444e+17,2.0000000017536867e+17,2.0000000204167434e+17,2.0000001305500893e+17,2.0000005577637296e+17,2.000001793208522e+17,2.0000046820130134e+17,2.000010448880145e+17,2.0000206538882864e+17,2.0000370956544144e+17,2.000061688544642e+17,2.0000963385661693e+17,2.000142835112774e+17,2.0002027675621994e+17,2.000277469181389e+17,2.0003679865145373e+17,2.0004750701597968e+17,2.0005991820338928e+17,2.0007405143325853e+17,2.000899015989709e+17,2.0010744232259098e+17,2.001266291582597e+17,2.001474027562728e+17,2.001696918607708e+17,2.0019341606211546e+17,2.0021848826148077e+17,2.002448168316497e+17,2.0027230747636528e+17,2.0030086480264483e+17,2.0033039362778806e+17,2.00360800046684e+17,2.0039199228646966e+17
