Position_m,Temperature_t=0.00000000s,Temperature_t=1.66666667s,Temperature_t=3.33333333s,Temperature_t=5.00000000s,Temperature_t=6.66666667s,Temperature_t=8.33333333s,Temperature_t=10.00000000s,Temperature_t=11.66666667s,Temperature_t=13.33333333s,Temperature_t=15.00000000s,Temperature_t=16.66666667s,Temperature_t=18.33333333s
-0.006719999999999999,42.81087089147359,41.30287386848884,40.83904349268696,40.61790911078685,40.488825461759944,40.4042873700974,40.34465065928782,40.30033341859874,40.266108209520254,40.2388819296186,40.21670781256058,40.19829957543125
-0.00648,42.88130800981902,41.31483643568692,40.84373218240191,40.6203887900664,40.490355594207706,40.40532479094454,40.34540013840197,40.30090021757145,40.266551913511144,40.239238775005404,40.21700109383487,40.198544945208305
-0.006239999999999999,42.95085323613414,41.32646425164407,40.84827311472665,40.622786490572224,40.49183383016207,40.40632647539076,40.34612353807696,40.30144716005261,40.26698000272303,40.23958302517163,40.217284005034585,40.19878163149457
-0.005999999999999999,43.01935840795603,41.337746278705715,40.85266354535293,40.62510114454936,40.493259646835305,40.40729212936723,40.34682067696693,40.30197412674888,40.26739239489694,40.23991462136534,40.21755650306885,40.199009602047994
-0.0057599999999999995,43.086674695498104,41.348671709593404,40.85690079823661,40.62733171131582,40.494632534445344,40.4082214659319,40.34749137804013,40.30248100120053,40.26778900977112,40.24023350633289,40.217818546034444,40.199228825613815
-0.00552,43.15265312777781,41.3592299804718,40.86098226644507,40.629477176999494,40.495951995872325,40.40911420498581,40.348135468365186,40.30296766962653,40.26816976897256,40.240539624246814,40.21807009317194,40.199439271903
-0.00528,43.217145131353895,41.369410782864435,40.86490541255049,40.631536554035534,40.4972175461695,40.40997007289451,40.348752778833145,40.30343402072564,40.26853459587861,40.24083292061364,40.2183111048095,40.1996409115641
-0.005039999999999999,43.280003079015636,41.379204074144226,40.86866776845805,40.63350888036248,40.498428711890305,40.41078880198918,40.349343143798144,40.30387994542177,40.26888341544053,40.24111334215673,40.21854154229108,40.19983371614683
-0.0048,43.34108084564509,41.38860008624418,40.872266934521534,40.635393218234995,40.49958503018006,40.411570129913436,40.34990640061341,40.30430533653741,40.26921615395808,40.241380836666565,40.218761367884454,40.20001765805488
-0.00456,43.40023436836979,41.39758933212016,40.87570057774696,40.63718865254157,40.500686047562475,40.41231379876949,40.35044238903097,40.304710088373554,40.26953273879026,40.241635352808785,40.21897054466317,40.20019271048492
