Position_m,Temperature_t=0.00000000s,Temperature_t=1.81818182s,Temperature_t=3.63636364s,Temperature_t=5.45454545s,Temperature_t=7.27272727s,Temperature_t=9.09090909s,Temperature_t=10.90909091s,Temperature_t=12.72727273s,Temperature_t=14.54545455s,Temperature_t=16.36363636s,Temperature_t=18.18181818s
0.06767999999999999,60.0,60.00000171729493,60.00021859123949,60.0017766933188,60.00554827089238,60.01116420229441,60.01774073963353,60.024501604014326,60.03094263259329,60.036795410262336,60.04195067600618
0.06792,60.0,60.00000155506884,60.00020547544573,60.001698550102795,60.00535565485452,60.01084409221414,60.01730753313565,60.02398066702458,60.0303601433614,60.036174033039075,60.041308430651554
0.06816,60.0,60.00000140770086,60.0001931069277,60.00162360192773,60.005169121632925,60.010532147898545,60.01688352607265,60.023469140168146,60.02978675050721,60.03556115056944,60.040673948663155
0.06839999999999999,60.0,60.0000012738763,60.000181445662705,60.001551729832315,60.004988502674905,60.010228194373184,60.01646856258634,60.022966895904126,60.029222355043416,60.0349566889265,60.04004717668329
0.06863999999999999,60.0,60.000001152392386,60.00017045361312,60.00148281874528,60.00481363322396,60.0099320593685,60.01606248837899,60.02247380738195,60.02866685809912,60.03436057395501,60.039428060937674
0.06888,60.0,60.00000104214907,60.00016009463745,60.00141675738211,60.00464435226555,60.009643573310115,60.01566515072766,60.021989748464804,60.02812016094441,60.03377273129365,60.038816547254235
0.06911999999999999,60.0,60.0000009421407,60.000150334404736,60.00135343814339,60.00448050247257,60.00936256930803,60.01527639849752,60.021514593752215,60.02758216501428,60.03319308639683,60.03821258108164
0.06935999999999999,60.0,60.000000851448235,60.000141140312365,60.001292757014944,60.004321930150425,60.009088883144805,60.01489608215405,60.021048218601905,60.02705277193214,60.03262156455623,60.03761610750763
0.0696,60.0,60.00000076923211,60.000132481407114,60.0012346134697,60.00416848518191,60.0088223532627,60.014524053774366,60.02059049915082,60.02653188353271,60.032058090922,60.037027071277244
0.06984,60.0,60.00000069472567,60.00012432830929,60.00117891037131,60.004020020971836,60.00856282074983,60.01416016705738,60.020141312335404,60.02601940188443,60.03150259052358,60.03644541681069
0.07007999999999999,60.0,60.00000062722907,60.00011665313999,60.00112555387955,60.0038763943915,60.00831012932541,60.01380427733312,60.019700535911106,60.02551522931129,60.0309549882902,60.03587108822114
0.07032,60.0,60.000000566103736,60.000109429451236,60.001074453357504,60.003737465723034,60.008064125324054,60.013456241570985,60.0192680484711,60.025019268414155,60.03041520907104,60.035304029332245
0.07056,60.0,60.00000051076718,60.00010263215899,60.001025521280525,60.00360309860373,60.007824657679265,60.01311591838714,60.01884372946427,60.02453142209158,60.02988317765502,60.03474418369547
0.07079999999999999,60.0,60.0000004606883,60.00009623747893,60.00097867314698,60.00347315997026,60.00759157790605,60.01278316805098,60.01842745921251,60.02405159356005,60.029358818790286,60.03419149460719
0.07103999999999999,60.0,60.000000415383006,60.000090222864856,60.000933827390774,60.00334752000298,60.00736474008275,60.01245785249068,60.01801911892718,60.02357968637375,60.0288420572033,60.033645905125596
0.07128,60.0,60.00000037441025,60.00008456694974,60.00089090529566,60.00322605207025,60.00714400083217,60.01213983529785,60.01761859072494,60.023115604443774,60.028332817617624,60.03310735808736
0.07152,60.0,60.00000033736833,60.00007924948916,60.000849830911356,60.00310863267285,60.006929219301895,60.01182898173143,60.017225757642834,60.02265925205683,60.027831024772325,60.03257579612412
0.07175999999999999,60.0,60.000000303891525,60.00007425130727,60.0008105309714,60.00299514138858,60.006720257143996,60.01152515872063,60.01684050365264,60.02221053389344,60.02733660344006,60.032051161678666
0.072,60.0,60.00000027364699,60.00006955424491,60.000772934812815,60.00288546081698,60.00651697849406,60.011228234867154,60.01646271367458,60.02176935504562,60.02684947844482,60.031533397021
0.07224,60.0,60.000000246331915,60.00006514111015,60.0007369742975,60.00277947652425,60.00631924994958,60.01093808044658,60.016092273590324,60.021335621034034,60.02636957467923,60.03102244426409
0.07247999999999999,60.0,60.00000022167093,60.000060995630804,60.00070258373539,60.00267707698846,60.006126940547794,60.01065456740901,60.01572907025533,60.020909237824675,60.02589681712168,60.03051824537947
0.07271999999999999,60.0,60.00000019941369,60.00005710240916,60.00066969980936,60.00257815354496,60.00593992174295,60.010377569378925,60.01537299151049,60.02049011184504,60.02543113085293,60.03002074221253
