r_m,B_tesla_phi_0
0.018378378378378378,0.6488051960995582
0.018498498498498498,0.6504493541230015
0.018618618618618618,0.6520919310938457
0.018738738738738738,0.6537329285157861
0.018858858858858858,0.6553723466645845
0.018978978978978978,0.6570101830326872
0.0190990990990991,0.6586464347838602
0.01921921921921922,0.6602810991317435
0.01933933933933934,0.6619141733391313
0.01945945945945946,0.6635456547172659
0.01957957957957958,0.665175540625116
0.0196996996996997,0.6668038284686945
0.01981981981981982,0.6684305157003883
0.01993993993993994,0.6700555998182716
0.02006006006006006,0.6716790783654578
0.02018018018018018,0.6733009489294645
0.0203003003003003,0.6749212091415584
0.02042042042042042,0.6765398566761409
0.02054054054054054,0.6781568892501442
0.02066066066066066,0.6797723046224081
0.02078078078078078,0.6813861005930971
0.0209009009009009,0.6829982750031243
0.02102102102102102,0.6846088257335605
0.02114114114114114,0.6862177507050782
0.02126126126126126,0.6878250478621756
0.02138138138138138,0.6894307142165202
0.0215015015015015,0.6910347452769794
0.021621621621621623,0.6926371364509424
0.021741741741741743,0.6942378831802415
0.021861861861861863,0.6958369809406972
0.021981981981981983,0.6974344252416714
0.022102102102102103,0.6990302116256036
0.022222222222222223,0.700624335667578
0.022342342342342343,0.7022167929748977
0.022462462462462463,0.7038075791866409
0.022582582582582583,0.7053966899732496
0.022702702702702703,0.7069841210361233
0.022822822822822823,0.7085698681071954
0.022942942942942943,0.7101539269485391
0.023063063063063063,0.7117362933519836
0.023183183183183183,0.7133169631387056
0.023303303303303304,0.7148959321588566
0.023423423423423424,0.7164731962911945
0.023543543543543544,0.7180487514426946
0.023663663663663664,0.7196225935481929
0.023783783783783784,0.7211947185713361
0.023903903903903904,0.7227651225418912
0.024024024024024024,0.7243338015610475
0.024144144144144144,0.7259007517585777
0.024264264264264264,0.7274659692900046
0.024384384384384384,0.7290294503362813
0.024504504504504504,0.7305911911034783
0.024624624624624624,0.7321511878224457
0.024744744744744744,0.7337094367485117
0.024864864864864864,0.7352659341611795
0.024984984984984984,0.7368206763638077
0.025105105105105104,0.7383736596833186
0.025225225225225224,0.739924880469913
0.025345345345345344,0.741474335096761
0.025465465465465464,0.7430220199597273
0.025585585585585584,0.7445679314770839
0.025705705705705705,0.7461120660892434
0.025825825825825825,0.7476544202584682
0.025945945945945945,0.7491949904686084
0.026066066066066065,0.750733773224845
0.026186186186186185,0.7522707650534115
0.026306306306306305,0.753805962556823
0.026426426426426425,0.7553393633040802
0.026546546546546545,0.756870965677309
0.026666666666666665,0.7584007681039985
0.026786786786786785,0.7599287690322988
0.026906906906906905,0.76145496693075
0.027027027027027025,0.7629793602880375
0.027147147147147145,0.7645019476127494
0.027267267267267265,0.7660227274331171
0.027387387387387385,0.7675416982967784
0.027507507507507505,0.7690588587705517
0.027627627627627625,0.7705742074401809
0.02774774774774775,0.7720877429101138
0.02786786786786787,0.7735994638032822
0.02798798798798799,0.7751093687608606
0.02810810810810811,0.7766174564420528
0.02822822822822823,0.7781237255238819
0.02834834834834835,0.7796281747009581
0.02846846846846847,0.7811308026852761
0.02858858858858859,0.7826316082060129
0.02870870870870871,0.7841305900093053
0.02882882882882883,0.7856277469583305
0.02894894894894895,0.7871230790079911
0.02906906906906907,0.7886165867830925
0.02918918918918919,0.7901082709347772
0.02930930930930931,0.7915981321311372
0.02942942942942943,0.7930861710569949
0.02954954954954955,0.794572388413705
0.02966966966966967,0.7960567849189634
0.02978978978978979,0.7975393613065928
0.02990990990990991,0.7990201183263558
0.03003003003003003,0.8004990567437715
0.03015015015015015,0.8019761773399097
0.03027027027027027,0.8034514809112117
0.03039039039039039,0.804924968269315
0.03051051051051051,0.806396640240856
0.03063063063063063,0.8078664976672981
0.03075075075075075,0.8093345414047642
0.03087087087087087,0.8108007723238472
0.03099099099099099,0.8122651913094444
0.03111111111111111,0.8137277992605995
0.03123123123123123,0.815188597090317
0.03135135135135135,0.8166475857851923
0.031471471471471474,0.8181047667725492
0.03159159159159159,0.8195601416793047
0.031711711711711714,0.8210137121469542
0.03183183183183183,0.8224654798306568
0.031951951951951954,0.8239154463990568
0.03207207207207207,0.8253636135341345
0.032192192192192194,0.8268099829310539
0.03231231231231231,0.8282545562979964
0.032432432432432434,0.8296973353560131
0.03255255255255255,0.8311383218388836
0.032672672672672674,0.8325775174929515
0.03279279279279279,0.8340149240769857
0.032912912912912914,0.8354505433620448
0.03303303303303303,0.8368843771313178
0.033153153153153155,0.838316427179995
0.03327327327327327,0.8397466953151234
0.033393393393393395,0.8411751833554818
0.03351351351351351,0.8426018931314287
0.033633633633633635,0.8440268264847782
0.03375375375375375,0.8454499852686763
0.033873873873873875,0.8468713712629291
0.03399399399399399,0.8482909858437386
0.034114114114114115,0.8497088302712777
