Position_m,Temperature_t=0.00000000s,Temperature_t=0.83333333s,Temperature_t=1.66666667s,Temperature_t=2.50000000s,Temperature_t=3.33333333s,Temperature_t=4.16666667s,Temperature_t=5.00000000s,Temperature_t=5.83333333s,Temperature_t=6.66666667s,Temperature_t=7.50000000s,Temperature_t=8.33333333s,Temperature_t=9.16666667s,Temperature_t=10.00000000s,Temperature_t=10.83333333s,Temperature_t=11.66666667s,Temperature_t=12.50000000s,Temperature_t=13.33333333s,Temperature_t=14.16666667s,Temperature_t=15.00000000s,Temperature_t=15.83333333s,Temperature_t=16.66666667s,Temperature_t=17.50000000s,Temperature_t=18.33333333s,Temperature_t=19.16666667s
0.08855999999999999,40.0,40.00000000000001,40.00000000013198,40.00000002390248,40.0000005668424,40.00000472727301,40.00002148364989,40.0000665495887,40.000159411383144,40.000318753075746,40.00055879808091,40.00088757055637,40.00130684994262,40.00181315439722,40.00239913934796,40.00305500531328,40.00376970577407,40.00453188113471,40.005330521503716,40.00615539662358,40.00699730242839,40.0078481721943,40.00870109328116,40.00955026199301
0.08879999999999999,40.0,40.00000000000001,40.0000000001166,40.00000002174591,40.00000052510628,40.00000443320292,40.00002032649823,40.00006338876515,40.000152639931606,40.00030650656701,40.00053920087631,40.00085893971405,40.00126782525819,40.001762756783265,40.00233677467275,40.002980433360584,40.0036829908135,40.004433335860014,40.005220651758236,40.00603485103005,40.006866828792376,40.00770858115254,40.0085532288727,40.009394978437015
0.08904,40.0,40.00000000000001,40.00000000010298,40.000000019779094,40.000000486347595,40.00000415674179,40.00001922894849,40.00006037055759,40.00014613991312,40.000294701095825,40.000520243571,40.000831162978066,40.00122987105424,40.00171363744072,40.00227587971698,40.002907501333944,40.00359806224512,40.00433669904214,40.0051127887753,40.005916388240216,40.006738493729145,40.007571166409676,40.00840756272856,40.00924190156402
0.08928,40.0,40.0,40.000000000090914,40.00000001798578,40.00000045036127,40.00000389687984,40.000018188085626,40.00005748891027,40.000139901183765,40.00028332199898,40.00050190707414,40.00080421732129,40.00119296109891,40.00166576776332,40.002216424326065,40.002836178287986,40.00351488898842,40.00424194000743,40.005006902718215,40.00579997958213,40.00661226996975,40.007435902262394,40.008264070811535,40.00909100905336
0.08951999999999999,40.0,40.0,40.00000000008024,40.00000001635108,40.0000004169558,40.00000365266235,40.000017201128664,40.000054738006135,40.000133913946506,40.000272355052346,40.00048417279892,40.00077808025536,40.001157069706075,40.00161911967519,40.00215837884432,40.00276643373431,40.00343344037212,40.00414902844162,40.00490296406042,40.00568559664694,40.006488130464675,40.007302763187134,40.00812272922863,40.00894227869714
0.08975999999999999,40.0,40.0,40.0000000000708,40.000000014861335,40.00000038595239,40.00000342318686,40.000016265424975,40.00005211225826,40.00012816874075,40.00026178645965,40.00046702265162,40.00075272982069,40.00112217172694,40.00157366562423,40.002101714110054,40.002698237638064,40.00335368613221,40.00405793438907,40.004800943585636,40.005573211289864,40.00636604838544,40.00717172384207,40.00798351423334,40.008795688402714
0.09,40.0,40.0,40.00000000006244,40.000000013504035,40.00000035718418,40.00000320760046,40.00001537844474,40.00004960630159,40.000122656432055,40.00025160284136,40.0004504390207,40.00072814457666,40.00108824254169,40.001529378575405,40.00204640145055,40.00263156041459,40.00327559640991,40.003968628251926,40.00470081238804,40.00546279563109,40.00624599712603,40.007042759069066,40.007846402227884,40.00865121619517
0.09023999999999999,40.0,40.0,40.00000000005506,40.00000001226771,40.00000033049544,40.00000300509721,40.000014537775755,40.00004721498494,40.00011736820214,40.00024179122378,40.000434404766104,40.00070430359188,40.00105525805116,40.00148623200406,40.001992412677055,40.00256637292592,40.003199141749555,40.003881080789185,40.00460254187223,40.00535432205654,40.006127950304375,40.0069158438955,40.00771136976543,40.0085088402197
0.09047999999999999,40.0,40.0,40.00000000004854,40.000000011141864,40.0000003057409,40.00000281491576,40.00001374111826,40.000044933363206,40.00011229553917,40.00023233902848,40.00041890320876,40.0006811864345,40.00102319466858,40.001444199889285,40.00193972007971,40.00250264647721,40.003124293096455,40.00379526311567,40.00450610375325,40.00524776321864,40.00601188176361,40.006790953536076,40.00757839355217,40.008368538743944
0.09072,40.0,40.0,40.00000000004277,40.00000001011687,40.000000282785024,40.00000263633694,40.00001298628015,40.000042756689844,40.00010743022824,40.00022323406183,40.00040391812019,40.00065877316275,40.00099202931137,40.00140325670717,40.00188829642248,40.002440352813224,40.00305102179461,40.00371114670095,40.004411470056404,40.00514309203697,40.00589776557339,40.006668063394514,40.00744745044938,40.008230290160306
0.09095999999999999,40.0,40.0,40.00000000003767,40.00000000918394,40.00000026150147,40.00000246868159,40.000012271172224,40.00004068040963,40.000102764342174,40.000214464504765,40.00038943371234,40.00063704431544,40.00096173939292,40.001363377424234,40.00183811493801,40.002379464114625,40.00297929958445,40.00362870336818,40.00431861311707,40.005040281698776,40.00578557603099,40.00654714906521,40.007318517475404,40.00809407298811
0.09119999999999999,40.0,40.0,40.000000000033175,40.00000000833502,40.00000024177239,40.00000231130848,40.00001159380375,40.00003870015159,40.0000982902325,40.00020601890285,40.00037543462749,40.000615980902715,40.00093230281456,40.001324537490696,40.00178914932254,40.002319952994334,40.002909098600405,40.00354790529286,40.004227505580445,40.00493930565955,40.00567528766251,40.006428186334844,40.007191571807574,40.00795986587581
0.09144,40.0,40.0,40.0000000000292,40.000000007562726,40.00000022348798,40.00000216361226,40.0000109522781,40.000036811722204,40.000094000520704,40.00019788615644,40.00036190592845,40.00059556439679,40.00090369795747,40.001286712833874,40.0017413737307,40.002261792493805,40.00284039136853,40.00346872500157,40.00413812040116,40.004840137643384,40.00556687522386,40.00631115118381,40.00706659078409,40.007827647603115
0.09168,40.0,40.0,40.0000000000257,40.00000000686032,40.00000020654588,40.000002025021594,40.00001034478864,40.00003501109879,40.00008988808969,40.000190055511126,40.00034883308879,40.0005757767229,40.000875903674675,40.001249879851585,40.0016947627704,40.00220495607924,40.002773150803975,40.003391135370535,40.00405043084287,40.00474275164337,40.005460313701725,40.00619601978774,40.0069435519058,40.00769739708296
0.09191999999999999,40.0,40.0,40.00000000002261,40.00000000622164,40.00000019085073,40.00000189499735,40.00000976961471,40.00003329442316,40.00008594607548,40.00018251654836,40.00033620198335,40.00055660025026,40.00084889928316,40.0012140154055,40.00164929149757,40.00214941763779,40.002707350208496,40.00331510962427,40.003964410477764,40.00464712192185,40.00535557831447,40.00608276851883,40.00682243283793,40.00756909336357
0.09215999999999999,40.0,40.0,40.00000000001989,40.00000000564105,40.00000017631369,40.00000177303085,40.00000922511784,40.00003165799546,40.00008216785916,40.00017525917626,40.000323998878784,40.00053801778325,40.00082266455598,40.001179096814596,40.001604935411045,40.00209515147372,40.00264296326779,40.00324062133401,40.003880033186014,40.00455322301064,40.00525264451299,40.00597137394719,40.00670321141177,40.00744271563039
