r_m,B_tesla_phi_5.4978
0.041999999999999996,1.1462454128649577
0.04214999999999999,1.146257030795544
0.0423,1.1462682629879288
0.042449999999999995,1.1462791076847902
0.0426,1.1462895631282082
0.042749999999999996,1.1462996275596664
0.042899999999999994,1.1463092992200552
0.04305,1.1463185763496726
0.043199999999999995,1.1463274571882276
0.04335,1.1463359399748416
0.0435,1.1463440229480488
0.043649999999999994,1.1463517043458
0.0438,1.146358982405463
0.043949999999999996,1.1463658553374878
0.04409999999999999,1.146372321258929
0.04425,1.1463783782657884
0.044399999999999995,1.1463840244534447
0.04455,1.1463892579166568
0.0447,1.1463940767495655
0.044849999999999994,1.1463984790456945
0.045,1.146402462897953
0.045149999999999996,1.1464060263986409
0.04529999999999999,1.1464091676394448
0.04545,1.1464118847114446
0.045599999999999995,1.1464141757051154
0.04575,1.1464160387103273
0.045899999999999996,1.1464174718163493
0.046049999999999994,1.1464184731118505
0.0462,1.1464190406849035
0.046349999999999995,1.146419172622144
0.04649999999999999,1.1464188669551179
0.04665,1.1464181216278626
0.046799999999999994,1.1464169345760116
0.04695,1.1464153037345592
0.047099999999999996,1.1464132270378682
0.04724999999999999,1.1464107024196677
0.0474,1.146407727813057
0.047549999999999995,1.1464043011505078
0.04769999999999999,1.1464004203638651
0.04785,1.1463960833843534
0.047999999999999994,1.1463912881425722
0.04815,1.146386032568505
0.048299999999999996,1.146380314591518
0.04844999999999999,1.146374132140364
0.0486,1.1463674831431816
0.048749999999999995,1.1463603655275014
0.0489,1.1463527772143722
0.049049999999999996,1.146344716037426
0.049199999999999994,1.1463361797633924
0.04935,1.146327166156673
0.049499999999999995,1.1463176729810196
0.04964999999999999,1.1463076979995395
0.0498,1.146297238974692
0.049949999999999994,1.146286293668296
0.0501,1.1462748598415293
0.050249999999999996,1.1462629352549332
0.05039999999999999,1.1462505176684117
0.05055,1.1462376048412377
0.050699999999999995,1.1462241945320542
0.05084999999999999,1.146210284498875
0.051,1.1461958724990882
0.051149999999999994,1.1461809562894603
0.0513,1.146165533626136
0.051449999999999996,1.1461496022449467
0.05159999999999999,1.1461331597690858
0.05175,1.1461162037815418
0.051899999999999995,1.146098731864596
0.05204999999999999,1.1460807415998688
0.052199999999999996,1.1460622305683212
0.052349999999999994,1.1460431963502586
0.0525,1.1460236365253351
0.052649999999999995,1.146003548672552
0.05279999999999999,1.145982930370265
0.05295,1.1459617791961836
0.053099999999999994,1.1459400927273742
0.05325,1.1459178685402633
0.053399999999999996,1.1458951042106413
0.05354999999999999,1.1458717973136623
0.0537,1.1458479454238482
0.053849999999999995,1.145823546114959
0.05399999999999999,1.145798596912863
0.05415,1.1457730952260514
0.054299999999999994,1.145747038444636
0.05445,1.1457204239580558
0.054599999999999996,1.1456932491550829
0.05474999999999999,1.14566551142382
0.0549,1.1456372081517054
0.055049999999999995,1.1456083367255185
0.05519999999999999,1.1455788945313778
0.055349999999999996,1.1455488789547483
0.055499999999999994,1.1455182873804397
0.05565,1.1454871171926135
0.055799999999999995,1.1454553657747844
0.05594999999999999,1.1454230305098207
0.0561,1.1453901087799496
0.056249999999999994,1.1453565979667608
0.05639999999999999,1.1453224954483967
0.056549999999999996,1.1452877985171708
0.05669999999999999,1.1452525043662376
0.05685,1.1452166101825856
0.056999999999999995,1.1451801131525239
0.05714999999999999,1.1451430104616858
0.0573,1.1451052992950332
0.057449999999999994,1.145066976836857
0.0576,1.145028040270782
0.057749999999999996,1.1449884867797706
0.05789999999999999,1.1449483135461236
0.05805,1.144907517751484
0.058199999999999995,1.1448660965768416
0.05834999999999999,1.144824047202533
0.058499999999999996,1.1447813668082467
0.058649999999999994,1.1447380525730266
0.0588,1.1446941016752732
0.058949999999999995,1.14464951127996
0.05909999999999999,1.1446042784302772
0.05925,1.1445584001019287
0.059399999999999994,1.1445118732692352
0.05954999999999999,1.1444646949058352
0.059699999999999996,1.144416861984691
0.059849999999999993,1.1443683714780883
0.06,1.1443192203576438
0.060149999999999995,1.144269405594304
0.06029999999999999,1.1442189241583511
0.06045,1.1441677730194044
0.060599999999999994,1.1441159491464266
0.06074999999999999,1.1440634495077238
0.060899999999999996,1.14401027107095
0.06104999999999999,1.1439564108031088
0.0612,1.14390186567056
0.061349999999999995,1.1438466326390193
0.06149999999999999,1.1437907086380377
0.061649999999999996,1.1437340904566502
0.061799999999999994,1.1436767748487937
0.06194999999999999,1.1436187585677215
0.062099999999999995,1.1435600383660112
0.06224999999999999,1.1435006109955597
0.0624,1.1434404732075945
0.06255,1.143379621752674
0.06269999999999999,1.1433180533806895
0.06284999999999999,1.14325576484087
0.063,1.143192752881788
0.06315,1.1431290142513566
0.0633,1.1430645456968411
0.06344999999999999,1.142999343964854
0.06359999999999999,1.1429334058013665
0.06375,1.1428667279517037
0.0639,1.1427993071597133
0.06405,1.142731140095239
0.0642,1.1426622232982042
0.06434999999999999,1.1425925532946972
0.06449999999999999,1.1425221266101293
0.06465,1.1424509397692388
0.0648,1.142378989296098
0.06495,1.142306271714109
0.06509999999999999,1.1422327835460167
0.06524999999999999,1.142158521313904
0.0654,1.1420834815392025
0.06555,1.142007660742691
0.0657,1.1419310554445006
0.06584999999999999,1.1418536621641213
0.06599999999999999,1.1417754774203999
0.06615,1.1416964977315482
0.0663,1.1416167196151452
0.06645,1.141536139581446
0.06659999999999999,1.1414547540251367
0.06674999999999999,1.141372559243543
0.06689999999999999,1.1412895515303108
0.06705,1.1412057271784202
0.0672,1.1411210824801923
0.06735,1.1410356137272915
0.06749999999999999,1.140949317210731
0.06764999999999999,1.1408621892208732
