Position_m,Temperature_t=0.00000000s,Temperature_t=0.47619048s,Temperature_t=0.95238095s,Temperature_t=1.42857143s,Temperature_t=1.90476190s,Temperature_t=2.38095238s,Temperature_t=2.85714286s,Temperature_t=3.33333333s,Temperature_t=3.80952381s,Temperature_t=4.28571429s,Temperature_t=4.76190476s,Temperature_t=5.23809524s,Temperature_t=5.71428571s,Temperature_t=6.19047619s,Temperature_t=6.66666667s,Temperature_t=7.14285714s,Temperature_t=7.61904762s,Temperature_t=8.09523810s,Temperature_t=8.57142857s,Temperature_t=9.04761905s,Temperature_t=9.52380952s,Temperature_t=10.00000000s,Temperature_t=10.47619048s,Temperature_t=10.95238095s,Temperature_t=11.42857143s,Temperature_t=11.90476190s,Temperature_t=12.38095238s,Temperature_t=12.85714286s,Temperature_t=13.33333333s,Temperature_t=13.80952381s,Temperature_t=14.28571429s,Temperature_t=14.76190476s,Temperature_t=15.23809524s,Temperature_t=15.71428571s,Temperature_t=16.19047619s,Temperature_t=16.66666667s,Temperature_t=17.14285714s,Temperature_t=17.61904762s,Temperature_t=18.09523810s,Temperature_t=18.57142857s,Temperature_t=19.04761905s,Temperature_t=19.52380952s
-0.09456,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000006,1000.0000000000031,1000.0000000000131,1000.0000000000497,1000.0000000001679,1000.0000000005119,1000.0000000014236,1000.0000000036458,1000.0000000086749,1000.0000000193277,1000.000000040601,1000.0000000809051,1000.0000001537518,1000.0000002799679,1000.0000004904936,1000.0000008298006,1000.0000013599449,1000.000002165238,1000.0000033574997,1000.0000050818248,1000.000007522778,1000.0000109109113,1000.0000155294865,1000.0000217212744,1000.0000298953038,1000.0000405334315,1000.0000541966127,1000.0000715307583,1000.000093272082,1000.0001202518512
-0.09432,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000008,1000.0000000000036,1000.0000000000157,1000.0000000000591,1000.0000000001984,1000.000000000601,1000.0000000016602,1000.0000000042261,1000.0000000099988,1000.0000000221602,1000.0000000463232,1000.0000000918864,1000.0000001738769,1000.0000003153539,1000.0000005504315,1000.0000009279523,1000.0000015158222,1000.000002405984,1000.0000037199842,1000.0000056150577,1000.0000082906338,1000.0000119951513,1000.0000170330544,1000.0000237718349,1000.0000326489879,1000.000044178745,1000.0000589584622,1000.0000776745468,1000.0001011078257,1000.0001301382666
-0.09408,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000009,1000.0000000000044,1000.0000000000189,1000.0000000000704,1000.0000000002344,1000.000000000705,1000.0000000019351,1000.000000004896,1000.0000000115189,1000.0000000253951,1000.0000000528265,1000.00000010431,1000.0000001965484,1000.0000003550592,1000.0000006174363,1000.0000010372951,1000.000001688906,1000.0000026724854,1000.0000041200904,1000.000006202032,1000.0000091337039,1000.0000131827,1000.0000186760873,1000.0000260076928,1000.0000356452605,1000.0000481373427,1000.0000641197963,1000.0000843217684,1000.0001095710693,1000.0001407988508
-0.09383999999999999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000002,1000.0000000000011,1000.0000000000053,1000.0000000000226,1000.0000000000837,1000.0000000002768,1000.0000000008266,1000.0000000022543,1000.0000000056693,1000.0000000132632,1000.000000029088,1000.0000000602141,1000.0000001183583,1000.0000002220767,1000.0000003995912,1000.0000006923084,1000.0000011590535,1000.0000018810174,1000.0000029673814,1000.0000045615536,1000.0000068479236,1000.0000100590212,1000.0000144829431,1000.0000204709069,1000.0000284447791,1000.0000389044319,1000.000052434784,1000.0000697123959,1000.0000915114988,1000.0001187093603,1000.0001522909008
-0.0936,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000002,1000.0000000000014,1000.0000000000065,1000.0000000000271,1000.0000000000996,1000.0000000003266,1000.0000000009687,1000.0000000026247,1000.0000000065612,1000.0000000152638,1000.0000000333015,1000.0000000686019,1000.0000001342368,1000.0000002508085,1000.000000449514,1000.0000007759354,1000.0000012945804,1000.0000020941613,1000.0000032935684,1000.0000050484623,1000.0000075583819,1000.0000110742417,1000.0000159060738,1000.0000224308633,1000.0000311003173,1000.0000424484152,1000.0000570985915,1000.0000757704167,1000.0000992856587,1000.0001285736209,1000.0001646756799
-0.09336,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000003,1000.0000000000017,1000.0000000000078,1000.0000000000324,1000.0000000001182,1000.0000000003852,1000.0000000011346,1000.0000000030543,1000.0000000075894,1000.0000000175571,1000.0000000381061,1000.0000000781206,1000.0000001521747,1000.0000002831308,1000.0000005054552,1000.0000008693004,1000.0000014453695,1000.0000023305442,1000.0000036542241,1000.0000055852886,1000.0000083395701,1000.0000121876973,1000.000017463158,1000.0000245704166,1000.0000339929219,1000.0000463008442,1000.0000621583898,1000.0000823305561,1000.0001076892073,1000.0001392183701,1000.0001780186716
-0.09312,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000003,1000.000000000002,1000.0000000000094,1000.0000000000389,1000.0000000001404,1000.0000000004541,1000.0000000013281,1000.0000000035524,1000.000000008774,1000.0000000201846,1000.0000000435824,1000.0000000889173,1000.0000001724296,1000.0000003194754,1000.0000005681121,1000.0000009734921,1000.0000016130687,1000.0000025925929,1000.0000040528331,1000.0000061769232,1000.0000091982096,1000.0000134084507,1000.0000191662032,1000.000026905222,1000.0000371427028,1000.0000504871987,1000.0000676460552,1000.0000894322255,1000.0001167703433,1000.0001507019566,1000.0001923898448
-0.09287999999999999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000005,1000.0000000000025,1000.0000000000114,1000.0000000000464,1000.0000000001667,1000.0000000005349,1000.0000000015536,1000.0000000041292,1000.000000010138,1000.0000000231935,1000.0000000498209,1000.0000001011575,1000.0000001952899,1000.0000003603236,1000.0000006382594,1000.0000010897153,1000.0000017994959,1000.0000028829752,1000.0000044932151,1000.0000068287111,1000.0000101416272,1000.0000147463566,1000.000021028235,1000.0000294522229,1000.0000405713773,1000.0000550349388,1000.000073595875,1000.0000971177392,1000.0001265807233,1000.0001630868082,1000.0002078639387
-0.09264,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000006,1000.000000000003,1000.0000000000138,1000.0000000000555,1000.0000000001976,1000.0000000006297,1000.0000000018166,1000.0000000047971,1000.0000000117079,1000.000000026637,1000.0000000569239,1000.0000001150273,1000.0000002210782,1000.0000004062124,1000.0000007167572,1000.0000012193028,1000.0000020066551,1000.0000032046236,1000.0000049795551,1000.0000075464926,1000.0000111778069,1000.0000162121257,1000.0000230633768,1000.0000322297498,1000.0000443023904,1000.0000599736487,1000.0000800447159,1000.0001054325102,1000.0001371756889,1000.0001764396943,1000.0002245207612
-0.0924,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000007,1000.0000000000036,1000.0000000000166,1000.0000000000663,1000.0000000002343,1000.0000000007409,1000.0000000021229,1000.0000000055701,1000.0000000135137,1000.0000000305761,1000.000000065007,1000.0000001307358,1000.0000002501553,1000.0000004577396,1000.00000080456,1000.0000013637285,1000.000002236755,1000.0000035607588,1000.0000055164364,1000.0000083366457,1000.0000123154443,1000.000017817395,1000.000025286937,1000.0000352576257,1000.0000483610419,1000.000065335188,1000.0000870322041,1000.0001144252608,1000.0001486145102,1000.0001908320027,1000.0002424455033
-0.09215999999999999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000008,1000.0000000000044,1000.00000000002,1000.0000000000791,1000.0000000002775,1000.0000000008712,1000.0000000024793,1000.0000000064639,1000.0000000155896,1000.0000000350793,1000.000000074201,1000.0000001485178,1000.0000002829249,1000.0000005155712,1000.0000009027266,1000.0000015246213,1000.000002492228,1000.0000039549176,1000.0000061088767,1000.0000092061326,1000.0000135640074,1000.0000195748025,1000.0000277155013,1000.0000385572802,1000.0000527746236,1000.0000711538557,1000.0000946009172,1000.0001241482461,1000.0001609606433,1000.0002063400354,1000.0002617290745
-0.09192,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.000000000001,1000.0000000000053,1000.000000000024,1000.0000000000945,1000.0000000003286,1000.0000000010239,1000.0000000028938,1000.000000007497,1000.0000000179748,1000.0000000402251,1000.0000000846528,1000.0000001686368,1000.0000003198383,1000.0000005804479,1000.0000010124306,1000.0000017037806,1000.0000027757523,1000.0000043909808,1000.0000067623661,1000.0000101625504,1000.0000149337994,1000.0000214980678,1000.0000303670327,1000.0000421518699,1000.0000575725645,1000.0000774665617,1000.0001027965862,1000.0001346574885,1000.000174282,1000.0002230453164,1000.0002824684508
