Position_m,Temperature_t=0.00000000s,Temperature_t=1.48148148s,Temperature_t=2.96296296s,Temperature_t=4.44444444s,Temperature_t=5.92592593s,Temperature_t=7.40740741s,Temperature_t=8.88888889s,Temperature_t=10.37037037s,Temperature_t=11.85185185s,Temperature_t=13.33333333s,Temperature_t=14.81481481s,Temperature_t=16.29629630s,Temperature_t=17.77777778s,Temperature_t=19.25925926s
0.07247999999999999,40.0,40.00000013541115,40.00003808387853,40.00044558080787,40.00171579645727,40.00395625777194,40.00691785680212,40.01025599370274,40.013679403975345,40.016988417777014,40.02006494475516,40.02285042622646,40.02532551075746,40.02749482568081
0.07271999999999999,40.0,40.00000012174071,40.00003563615527,40.00042456605428,40.0016518828806,40.00383449007918,40.00673647166962,40.01002180131003,40.01340278935969,40.01668021064442,40.01973491469101,40.02250675560318,40.02497475970308,40.027142106202966
0.07296,40.0,40.000000109414465,40.0000333389631,40.00040448269692,40.00159016591046,40.00371611606919,40.0065593114651,40.00979226782686,40.013130951853896,40.016376683405596,40.01940933599355,40.022167237478754,40.02462783278582,40.02679287884852
0.07319999999999999,40.0,40.00000009830401,40.00003118350928,40.00038529251811,40.00153057766934,40.00360105350687,40.006386293865404,40.0095673191055,40.01286382879894,40.016077785291515,40.019088168785984,40.02183184135434,40.024284707303394,40.02644712726289
0.07343999999999999,40.0,40.00000008829282,40.00002916148385,40.00036695871743,40.00147305207633,40.0034892217396,40.00621733768719,40.00934688170226,40.01260135789594,40.015783465650124,40.0187713731489,40.021500536590686,40.02394536035811,40.02610483486978
0.07368,40.0,40.00000007927521,40.00002726503515,40.00034944586634,40.00141752481091,40.003380541680016,40.00605236288428,40.00913088288323,40.01234347721546,40.015493673956584,40.01845890913002,40.02117329241667,40.02360976886423,40.02576598487729
0.07392,40.0,40.00000007115532,40.00002548674634,40.00033271986387,40.00136393327718,40.00327493578845,40.00589129054471,40.008919250629575,40.012090125206505,40.015208359823234,40.018150736753704,40.02085007793788,40.02327790955529,40.02543056028407
0.07415999999999999,40.0,40.00000006384625,40.00002381961311,40.00031674789343,40.001312216568266,40.003172328055165,40.00573404288723,40.00871191364244,40.011841240705216,40.01492747300933,40.017846816030364,40.02053086214497,40.022949758991324,40.02509854388542
0.0744,40.0,40.00000005726927,40.000022257022394,40.000301498380765,40.00126231543116,40.003072643982414,40.005580543257516,40.00850880134747,40.01159676294321,40.014650963430505,40.017547106965644,40.020215613921984,40.02262529356606,40.02476991827932
0.07464,40.0,40.00000005135304,40.00002079273203,40.00028694095294,40.00121417223189,40.002975810566255,40.005430716123925,40.00830984389887,40.01135663155566,40.014378781168084,40.0172515695695,40.01990430205454,40.02230448951401,40.02444466587245
0.07487999999999999,40.0,40.00000004603299,40.00001942085145,40.00027304639844,40.00116773092096,40.00288175627818,40.00528448707288,40.00811497218321,40.011120786588954,40.01411087647809,40.016960163865086,40.01959689523792,40.021987322917525,40.024122768886215
0.07511999999999999,40.0,40.000000041250644,40.00001813582325,40.00025978662831,40.001122936999295,40.00279041104662,40.005141782803896,40.007924117822725,40.0108891685082,40.01384719980005,40.01667284989748,40.019293362085065,40.021673769713765,40.02380420936261
0.07536,40.0,40.00000003695311,40.000016932405615,40.00024713463836,40.001079737484446,40.00270170623829,40.005002531124305,40.00773721317837,40.01066171820428,40.013587701765545,40.01638958774228,40.01899367113441,40.0213638057016,40.02348896917016
0.07559999999999999,40.0,40.00000003309254,40.00001580565568,40.00023506447233,40.001038080877244,40.00261557463941,40.004866660943534,40.00755419135243,40.01043837700072,40.01333233320661,40.016110337513965,40.0186977908577,40.021057406548444,40.023177030009776
0.07583999999999999,40.0,40.00000002962567,40.00001475091356,40.000223551186174,40.00099791712885,40.00253195043676,40.00473410226718,40.00737498619078,40.01021908666013,40.01308104516381,40.015835059374204,40.01840568966759,40.02075454779705,40.02286837342054
0.07608,40.0,40.00000002651339,40.00001376378726,40.00021257081323,40.000959197608175,40.002450769198774,40.00460478619067,40.00719953228489,40.01000378939051,40.01283378889412,40.0155637135399,40.01811733592521,40.02045520487214,40.0225629807855
0.07632,40.0,40.00000002372038,40.0000128401383,40.00020210033045,40.00092187506978,40.002371967856355,40.004478644892686,40.007027764973394,40.009792427851146,40.01259051587866,40.01529626029112,40.01783269794763,40.0201593530871,40.02226083333736
0.07655999999999999,40.0,40.000000021214724,40.000011976067995,40.000192117625495,40.00088590362214,40.00229548468381,40.004355611628284,40.006859620343384,40.009584945158245,40.01235117783008,40.0150326599789,40.017551744015115,40.01986696765047,40.02196191216419
0.0768,40.0,40.000000018967604,40.000011167904525,40.00018260146488,40.00085123869635,40.00222125927962,40.00423562072172,40.00669503523138,40.00938128489035,40.01211572669981,40.01477287303278,40.0172744423784,40.019578023672445,40.021666198215016
0.07704,40.0,40.00000001695303,40.0000104121905,40.000173531462956,40.000817837015305,40.002149232547204,40.00411860755903,40.006533947223986,40.009181391093385,40.01188411468512,40.01451685996834,40.017000761265756,40.019292496171275,40.02137367230545
0.07727999999999999,40.0,40.000000015147535,40.000009705671275,40.00016488805185,40.000785656563274,40.00207934667563,40.00400450858034,40.006376294658224,40.0089852082855,40.01165629423581,40.01426458139441,40.01673066888999,40.01901036007958,40.02108431512319
