Position_m,Temperature_t=0.00000000s,Temperature_t=0.90909091s,Temperature_t=1.81818182s,Temperature_t=2.72727273s,Temperature_t=3.63636364s,Temperature_t=4.54545455s,Temperature_t=5.45454545s,Temperature_t=6.36363636s,Temperature_t=7.27272727s,Temperature_t=8.18181818s,Temperature_t=9.09090909s,Temperature_t=10.00000000s,Temperature_t=10.90909091s,Temperature_t=11.81818182s,Temperature_t=12.72727273s,Temperature_t=13.63636364s,Temperature_t=14.54545455s,Temperature_t=15.45454545s,Temperature_t=16.36363636s,Temperature_t=17.27272727s,Temperature_t=18.18181818s,Temperature_t=19.09090909s
0.055439999999999996,100.00000000037284,100.00000026280044,100.00000876848853,100.00007826254416,100.00034851815812,100.00102761135739,100.0023251728691,100.0043939962016,100.00730550916624,100.01105368576972,100.01557327887394,100.02076131447372,100.02649598327234,100.03265086622015,100.03910447966486,100.04574596567525,100.05247793894027,100.05921739834992,100.06589541600853,100.07245611998803,100.07885532350136,100.08505902919977
0.05567999999999999,100.00000000030272,100.00000022712051,100.0000078308992,100.00007134227951,100.00032220903577,100.0009598755536,100.00218907139315,100.00416260399541,100.00695577463692,100.01056852753707,100.01494215249019,100.01997977646728,100.02556473971606,100.03157464945532,100.03789095733744,100.04440478372409,100.05101993523859,100.05765398716373,100.06423812555194,100.07071625859768,100.0770437492635,100.08318600011944
0.05592,100.00000000024556,100.00000019616787,100.00000699041034,100.00006501025113,100.00029779488257,100.00089636822868,100.00206045858481,100.0039425806264,100.00662154357593,100.01010293800167,100.01433435145161,100.01922486201089,100.02466288505308,100.03053003566511,100.03671072000728,100.04309807864907,100.04959716381437,100.05612618507898,100.0626164997487,100.06901184997963,100.07526719733772,100.08134738755429
0.056159999999999995,100.00000000019902,100.00000016933272,100.00000623731945,100.00005921867287,100.00027514654434,100.00083684217954,100.00193895274506,100.00373341455372,100.00630219416256,100.00965621208191,100.01374911600422,100.01849578313944,100.0237896255892,100.02951624333522,100.03556301182181,100.04182512982952,100.04820894558948,100.05463335826768,100.06102995172073,100.06734235440486,100.07352517425784,100.079542742659
0.05639999999999999,100.00000000016115,100.00000014608159,100.0000055628548,100.00005392343932,100.00025414309802,100.00078106350828,100.0018241897764,100.00353461465245,100.00599712620519,100.00922766616651,100.01318570669427,100.01779177036782,100.02294418394116,100.02853250496972,100.03444708868578,100.04058522627022,100.04685460916374,100.0531748788419,100.05947789900712,100.06570723524649,100.07181718853825,100.07777161762299
0.056639999999999996,100.00000000013037,100.00000012594816,100.00000495909035,100.00004908385999,100.00023467137004,100.00072881098166,100.00171582248004,100.0033457095369,100.00570576055017,100.00881663763784,100.01264340401269,100.01711207244895,100.0221257988934,100.02757806702944,100.03336221826399,100.03937766665314,100.04553349090234,100.05175012496605,100.0579597636925,100.06410595911751,100.0701427508159,100.07603356581264
0.05687999999999999,100.00000000010537,100.00000010852504,100.00000441886785,100.00004466241126,100.00021662547985,100.00067987541647,100.001613519875,100.00316624689935,100.00542753849903,100.00842248439785,100.01212150803781,100.01645595612702,100.02133372524841,100.02665218986277,100.03230767997624,100.03820175938132,100.04424493501591,100.05035848096239,100.0564749725294,100.0625379960032,100.0685013739877,100.07432814190967
0.05712,100.0000000000851,100.00000009345665,100.0000039357259,100.00004062450486,100.00019990640742,100.0006340590903,100.00151696653872,100.00299579286398,100.00516192123433,100.0080445843971,100.01161933807658,100.01582270588636,100.02056723367069,100.02575414762926,100.0312827649847,100.03705682261557,100.04298829363375,100.04899933741011,100.05502295705483,100.06100281938836,100.06689257334308,100.07265490204539
0.057359999999999994,100.00000000006865,100.00000008043267,100.00000350383506,100.00003693827203,100.00018442158348,100.00059117517675,100.00142586196883,100.00283393135614,100.0049083892547,100.00768233516709,100.01113623230502,100.01521162369636,100.01982561052483,100.02488322821637,100.03028677617408,100.03594218430382,100.04176292686999,100.0476720912381,100.05360315370085,100.05949990637929,100.06531586669223,100.07101340393098
0.0576,100.00000000005535,100.00000006918263,100.00000311793876,100.00003357436239,100.00017008450195,100.00055104720448,100.00133991996583,100.00268026348694,100.00466644181886,100.00733515335635,100.01067154740805,100.01462202875277,100.01910815770827,100.0240387331496,100.02931902812472,100.0348571822035,100.04056820288315,100.04637614581131,100.05221500389973,100.05802873782076,100.06377077448968,100.06940320698389
