Position_m,Temperature_t=0.00000000s,Temperature_t=2.00000000s,Temperature_t=4.00000000s,Temperature_t=6.00000000s,Temperature_t=8.00000000s,Temperature_t=10.00000000s,Temperature_t=12.00000000s,Temperature_t=14.00000000s,Temperature_t=16.00000000s,Temperature_t=18.00000000s
-0.11615999999999999,60.0,60.0,60.00000000004702,60.00000003002002,60.00000110762502,60.00001098706694,60.00005341280379,60.00016891170722,60.00040415024292,60.000798923238335
-0.11592,60.0,60.0,60.00000000005161,60.00000003187092,60.00000115381644,60.000011312918794,60.00005458489923,60.00017174325191,60.000409462333934,60.00080733578031
-0.11567999999999999,60.0,60.0,60.0000000000567,60.000000033883396,60.00000120356249,60.00001166208301,60.00005583717041,60.00017476293192,60.000415120493884,60.000816288863966
-0.11543999999999999,60.0,60.0,60.00000000006235,60.00000003606687,60.000001257000854,60.0000120351903,60.0000571711956,60.00017797353578,60.00042112869856,60.00082578742414
-0.1152,60.0,60.0,60.0000000000686,60.000000038431516,60.000001314278784,60.00001243291115,60.00005858864551,60.00018137800497,60.00042749112838,60.00083583663324
-0.11495999999999999,60.0,60.0,60.00000000007552,60.000000040988304,60.000001375553445,60.00001285595674,60.00006009128471,60.000184979435694,60.000434212170106,60.00084644190269
-0.11471999999999999,60.0,60.0,60.00000000008316,60.00000004374907,60.00000144099226,60.000013305079925,60.000061680973225,60.00018878108069,60.00044129641863,60.00085760888445
-0.11447999999999998,60.0,60.0,60.0000000000916,60.00000004672651,60.00000151077326,60.000013781076255,60.00006335966817,60.00019278635114,60.000448748678785,60.000869343472594
-0.11424,60.0,60.0,60.00000000010092,60.00000004993429,60.000001585085535,60.00001428478505,60.00006512942542,60.00019699881865,60.000456573967234,60.00088165180482
-0.11399999999999999,60.0,60.0,60.00000000011119,60.00000005338706,60.000001664129584,60.00001481709054,60.0000669924014,60.000201422217266,60.0004647775144,60.00089454026409
