Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s
0.12000000000000001,2e+17,2e+17,2e+17,2e+17,2.0000000000005136e+17,2.0000000000737203e+17,2.0000000021194586e+17,2.0000000238838602e+17,2.000000148749137e+17,2.0000006216830912e+17,2.0000019616663926e+17,2.000005040390075e+17,2.0000110946172176e+17,2.0000216713526678e+17,2.0000385267645888e+17,2.0000635059215853e+17,2.0000984260686288e+17,2.0001449779863795e+17,2.0002046521629526e+17
0.12333333333333334,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.000000000000576e+17,2.00000000008084e+17,2.000000002289373e+17,2.0000000255137427e+17,2.0000001575370282e+17,2.0000006538596675e+17,2.000002051398748e+17,2.0000052455538304e+17,2.0000114987001325e+17,2.0000223809473178e+17,2.000039665564204e+17,2.000065206805307e+17,2.0001008228405194e+17,2.0001481979354086e+17,2.0002088101193923e+17
0.12666666666666668,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000006454e+17,2.0000000000886317e+17,2.0000000024726512e+17,2.0000000272538544e+17,2.0000001668489197e+17,2.000000687762291e+17,2.0000021455338493e+17,2.0000054600521613e+17,2.0000119200269546e+17,2.0000231192149152e+17,2.0000408482826064e+17,2.0000669707121997e+17,2.000103305413301e+17,2.0001515297731734e+17,2.000213108876474e+17
0.13,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000007232e+17,2.000000000097157e+17,2.000000002670297e+17,2.000000029111167e+17,2.0000001767131382e+17,2.0000007234715462e+17,2.000002244250508e+17,2.000005684216594e+17,2.0000123591353994e+17,2.0000238869430298e+17,2.0000420759852768e+17,2.000068798995884e+17,2.0001058754218864e+17,2.000154975394638e+17,2.000217550557202e+17
0.13333333333333333,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.00000000000081e+17,2.0000000001064835e+17,2.000000002883388e+17,2.000000031093088e+17,2.000000187159556e+17,2.0000007610719418e+17,2.000002347735443e+17,2.0000059183921664e+17,2.000012816583638e+17,2.0000246849474835e+17,2.000043349774059e+17,2.000070693054255e+17,2.0001085345527453e+17,2.0001585367526832e+17,2.0002221373477347e+17
0.1366666666666667,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000009072e+17,2.0000000001166835e+17,2.0000000031130822e+17,2.000000033207485e+17,2.0000001982196653e+17,2.0000008006520694e+17,2.0000024561835494e+17,2.0000061629378176e+17,2.0000132929507885e+17,2.0000255140729238e+17,2.0000446707877738e+17,2.000072654330093e+17,2.0001112845444915e+17,2.0001622158586298e+17,2.0002268714978298e+17
0.14,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000010157e+17,2.0000000001278368e+17,2.0000000033606205e+17,2.000000035462714e+17,2.0000002099266586e+17,2.0000008423047686e+17,2.00000256979818e+17,2.0000064182267898e+17,2.0000137888374288e+17,2.0000263751934106e+17,2.000046040202845e+17,2.0000746843116963e+17,2.0001141271884746e+17,2.000166014782773e+17,2.0002317553212992e+17
0.14333333333333334,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000011366e+17,2.0000000001400298e+17,2.000000003627334e+17,2.0000000378676445e+17,2.0000002223155062e+17,2.0000008861273e+17,2.0000026887914342e+17,2.0000066846470435e+17,2.0000143048661216e+17,2.000027269213024e+17,2.0000474592339485e+17,2.0000767845335258e+17,2.0001170643293936e+17,2.0001699356549315e+17,2.0002367911964733e+17
0.14666666666666667,2e+17,2e+17,2e+17,2.0000000000000006e+17,2.000000000001272e+17,2.000000000153356e+17,2.0000000039146512e+17,2.0000000404316918e+17,2.0000002354230458e+17,2.0000009322215242e+17,2.0000028133844608e+17,2.0000069626016886e+17,2.0000148416819578e+17,2.0000281970664854e+17,2.0000489291346714e+17,2.0000789565768656e+17,2.0001200978659178e+17,2.0001739806650022e+17,2.0002419815666736e+17
0.15000000000000002,2e+17,2e+17,2e+17,2.0000000000000006e+17,2.000000000001423e+17,2.0000000001679184e+17,2.0000000042241027e+17,2.0000000431648464e+17,2.0000002492880688e+17,2.00000098069409e+17,2.0000029438077702e+17,2.000007252509427e+17,2.0000153999531142e+17,2.0000291597197994e+17,2.000050451198194e+17,2.000081202070502e+17,2.000123229751327e+17,2.000178152063533e+17,2.0002473289406954e+17
